Category: All categories,,,
,,,
Week,light therapy: (Michigan),winter blues: (Michigan),Seasonal affective disorder: (Michigan)
12/3/17,32,4,83
12/10/17,25,6,88
12/17/17,29,0,85
12/24/17,28,0,80
12/31/17,26,0,73
1/7/18,24,9,98
1/14/18,21,5,95
1/21/18,26,4,100
1/28/18,16,6,89
2/4/18,31,5,90
2/11/18,22,7,82
2/18/18,44,12,62
2/25/18,33,0,59
3/4/18,22,5,57
3/11/18,17,4,38
3/18/18,16,0,31
3/25/18,30,10,26
4/1/18,21,0,22
4/8/18,20,0,11
4/15/18,27,0,19
4/22/18,21,0,0
4/29/18,17,0,17
5/6/18,27,0,14
5/13/18,20,0,8
5/20/18,18,0,18
5/27/18,8,4,20
6/3/18,22,0,6
6/10/18,30,0,11
6/17/18,10,0,9
6/24/18,21,0,9
7/1/18,4,0,6
7/8/18,16,0,9
7/15/18,9,6,14
7/22/18,20,0,6
7/29/18,15,0,8
8/5/18,0,0,6
8/12/18,28,4,8
8/19/18,12,9,0
8/26/18,23,0,0
9/2/18,7,0,20
9/9/18,28,11,20
9/16/18,16,0,13
9/23/18,23,0,20
9/30/18,25,8,27
10/7/18,15,0,18
10/14/18,32,6,31
10/21/18,12,7,46
10/28/18,20,0,34
11/4/18,31,0,76
11/11/18,29,8,59
11/18/18,40,0,44
11/25/18,26,0,71
12/2/18,63,5,100
12/9/18,40,0,72
12/16/18,34,0,55
12/23/18,33,13,53
12/30/18,36,5,66
1/6/19,53,16,58
1/13/19,54,10,64
1/20/19,46,8,68
1/27/19,31,0,34
2/3/19,49,0,46
2/10/19,39,19,66
2/17/19,56,20,65
2/24/19,50,6,50
3/3/19,44,18,42
3/10/19,43,0,54
3/17/19,45,0,40
3/24/19,21,0,35
3/31/19,25,0,11
4/7/19,40,0,10
4/14/19,52,0,26
4/21/19,37,0,12
4/28/19,39,8,20
5/5/19,37,0,17
5/12/19,29,0,0
5/19/19,43,0,12
5/26/19,18,0,17
6/2/19,21,9,15
6/9/19,15,16,7
6/16/19,20,0,16
6/23/19,17,0,0
6/30/19,33,0,17
7/7/19,13,0,34
7/14/19,36,0,37
7/21/19,23,0,33
7/28/19,17,0,14
8/4/19,28,12,7
8/11/19,19,0,0
8/18/19,37,9,6
8/25/19,50,6,9
9/1/19,24,0,0
9/8/19,23,6,26
9/15/19,33,0,19
9/22/19,28,21,15
9/29/19,37,0,39
10/6/19,50,0,15
10/13/19,23,0,56
10/20/19,25,0,55
10/27/19,45,0,70
11/3/19,69,0,80
11/10/19,65,9,98
11/17/19,61,0,99
11/24/19,36,11,62
12/1/19,63,0,83
12/1/19,60,0,80
12/8/19,45,0,77
12/15/19,43,11,79
12/22/19,52,8,46
12/29/19,50,0,35
1/5/20,54,9,79
1/12/20,57,17,79
1/19/20,48,9,71
1/26/20,45,5,100
2/2/20,75,12,49
2/9/20,54,0,43
2/16/20,66,0,41
2/23/20,59,14,51
3/1/20,39,0,32
3/8/20,39,0,34
3/15/20,27,0,10
3/22/20,25,0,10
3/29/20,20,0,11
4/5/20,50,0,4
4/12/20,28,0,10
4/19/20,74,7,21
4/26/20,55,0,15
5/3/20,28,0,0
5/10/20,34,9,12
5/17/20,20,0,7
5/24/20,19,0,0
5/31/20,25,0,8
6/7/20,21,0,9
6/14/20,19,0,5
6/21/20,25,0,9
6/28/20,43,0,14
7/5/20,31,0,15
7/12/20,24,0,15
7/19/20,28,7,8
7/26/20,27,0,0
8/2/20,18,0,10
8/9/20,31,0,14
8/16/20,33,0,10
8/23/20,30,0,19
