"","location","hits","keyword","geo","gprop"
"1","Muir",NA,"light therapy","US-MI","web"
"2","Rothbury",NA,"light therapy","US-MI","web"
"3","Bloomingdale",NA,"light therapy","US-MI","web"
"4","Melvin",NA,"light therapy","US-MI","web"
"5","Marne",NA,"light therapy","US-MI","web"
"6","Perrinton",NA,"light therapy","US-MI","web"
"7","Foster City",NA,"light therapy","US-MI","web"
"8","Goodrich",NA,"light therapy","US-MI","web"
"9","Douglas",NA,"light therapy","US-MI","web"
"10","Northville",NA,"light therapy","US-MI","web"
"11","Reese",NA,"light therapy","US-MI","web"
"12","Rockwood",NA,"light therapy","US-MI","web"
"13","Nunica",NA,"light therapy","US-MI","web"
"14","Manitou Beach-Devils Lake",NA,"light therapy","US-MI","web"
"15","Richfield Township",NA,"light therapy","US-MI","web"
"16","Rogers City",NA,"light therapy","US-MI","web"
"17","Goodells",NA,"light therapy","US-MI","web"
"18","Napoleon",NA,"light therapy","US-MI","web"
"19","Linden",NA,"light therapy","US-MI","web"
"20","Kalkaska",NA,"light therapy","US-MI","web"
"21","Brownstown Charter Township",NA,"light therapy","US-MI","web"
"22","Marcellus",NA,"light therapy","US-MI","web"
"23","Glen Arbor",NA,"light therapy","US-MI","web"
"24","Caro",NA,"light therapy","US-MI","web"
"25","Bad Axe",NA,"light therapy","US-MI","web"
"26","North Branch",NA,"light therapy","US-MI","web"
"27","Clare",NA,"light therapy","US-MI","web"
"28","Bridgeport charter Township",NA,"light therapy","US-MI","web"
"29","East Tawas",NA,"light therapy","US-MI","web"
"30","Metamora",NA,"light therapy","US-MI","web"
"31","Stanton",NA,"light therapy","US-MI","web"
"32","Sheridan",NA,"light therapy","US-MI","web"
"33","Harbor Springs",NA,"light therapy","US-MI","web"
"34","Lawrence",NA,"light therapy","US-MI","web"
"35","Brown City",NA,"light therapy","US-MI","web"
"36","North Muskegon",NA,"light therapy","US-MI","web"
"37","Leonard",NA,"light therapy","US-MI","web"
"38","Grand Ledge",NA,"light therapy","US-MI","web"
"39","Sawyer",NA,"light therapy","US-MI","web"
"40","Cassopolis",NA,"light therapy","US-MI","web"
"41","Fenton Township",NA,"light therapy","US-MI","web"
"42","Pinckney",NA,"light therapy","US-MI","web"
"43","Lakeville",NA,"light therapy","US-MI","web"
"44","Lowell charter Township",NA,"light therapy","US-MI","web"
"45","Almont",NA,"light therapy","US-MI","web"
"46","Columbiaville",NA,"light therapy","US-MI","web"
"47","Rockford",NA,"light therapy","US-MI","web"
"48","Burnips",NA,"light therapy","US-MI","web"
"49","Owosso charter Township",NA,"light therapy","US-MI","web"
"50","Sand Lake",NA,"light therapy","US-MI","web"
"51","Elmwood Charter Township",NA,"light therapy","US-MI","web"
"52","White Pigeon",NA,"light therapy","US-MI","web"
"53","Leland",NA,"light therapy","US-MI","web"
"54","Bellaire",NA,"light therapy","US-MI","web"
"55","Birmingham",NA,"light therapy","US-MI","web"
"56","Manchester",NA,"light therapy","US-MI","web"
"57","Midland charter Township",NA,"light therapy","US-MI","web"
"58","Mount Clemens",NA,"light therapy","US-MI","web"
"59","Charlevoix",NA,"light therapy","US-MI","web"
"60","Traverse City",NA,"light therapy","US-MI","web"
"61","Boyne Falls",NA,"light therapy","US-MI","web"
"62","Jamestown",NA,"light therapy","US-MI","web"
"63","Richmond Township",NA,"light therapy","US-MI","web"
"64","Orchard Lake Village",NA,"light therapy","US-MI","web"
"65","Hastings",NA,"light therapy","US-MI","web"
"66","Williamston",NA,"light therapy","US-MI","web"
"67","Royal Oak",NA,"light therapy","US-MI","web"
"68","Alanson",NA,"light therapy","US-MI","web"
"69","Oakland charter Township",NA,"light therapy","US-MI","web"
"70","Cass City",NA,"light therapy","US-MI","web"
"71","Wyandotte",NA,"light therapy","US-MI","web"
"72","Fenton",NA,"light therapy","US-MI","web"
"73","Byron Center",NA,"light therapy","US-MI","web"
"74","South Lyon",NA,"light therapy","US-MI","web"
"75","Texas charter Township",NA,"light therapy","US-MI","web"
"76","Huntington Woods",NA,"light therapy","US-MI","web"
"77","Argentine Township",NA,"light therapy","US-MI","web"
"78","New Baltimore",NA,"light therapy","US-MI","web"
"79","Harrison charter Township",NA,"light therapy","US-MI","web"
"80","Independence charter Township",NA,"light therapy","US-MI","web"
"81","Brighton",NA,"light therapy","US-MI","web"
"82","Vicksburg",NA,"light therapy","US-MI","web"
"83","Fraser",NA,"light therapy","US-MI","web"
"84","Michigan Center",NA,"light therapy","US-MI","web"
"85","Lapeer",NA,"light therapy","US-MI","web"
"86","Watervliet",NA,"light therapy","US-MI","web"
"87","Forest Hills",NA,"light therapy","US-MI","web"
"88","Fair Plain",NA,"light therapy","US-MI","web"
"89","Otsego",NA,"light therapy","US-MI","web"
"90","Berkley",NA,"light therapy","US-MI","web"
"91","Howell",NA,"light therapy","US-MI","web"
"92","Indian River",NA,"light therapy","US-MI","web"
"93","New Haven",NA,"light therapy","US-MI","web"
"94","Three Oaks",NA,"light therapy","US-MI","web"
"95","Fort Gratiot Township",NA,"light therapy","US-MI","web"
"96","Petoskey",NA,"light therapy","US-MI","web"
"97","Mancelona",NA,"light therapy","US-MI","web"
