"","location","hits","keyword","geo","gprop"
"1","Traverse City-Cadillac MI",100,"light therapy","US-MI","web"
"2","Lansing MI",84,"light therapy","US-MI","web"
"3","Grand Rapids-Kalamazoo-Battle Creek MI",82,"light therapy","US-MI","web"
"4","Flint-Saginaw-Bay City MI",81,"light therapy","US-MI","web"
"5","South Bend-Elkhart IN",80,"light therapy","US-MI","web"
"6","Detroit MI",76,"light therapy","US-MI","web"
"7","Marquette MI",69,"light therapy","US-MI","web"
"8","Toledo OH",68,"light therapy","US-MI","web"
"9","Alpena MI",NA,"light therapy","US-MI","web"
"10","Lansing MI",100,"seasonal affective disorder","US-MI","web"
"11","Grand Rapids-Kalamazoo-Battle Creek MI",89,"seasonal affective disorder","US-MI","web"
"12","Flint-Saginaw-Bay City MI",80,"seasonal affective disorder","US-MI","web"
"13","South Bend-Elkhart IN",77,"seasonal affective disorder","US-MI","web"
"14","Toledo OH",70,"seasonal affective disorder","US-MI","web"
"15","Detroit MI",66,"seasonal affective disorder","US-MI","web"
"16","Alpena MI",NA,"seasonal affective disorder","US-MI","web"
"17","Marquette MI",NA,"seasonal affective disorder","US-MI","web"
"18","Traverse City-Cadillac MI",NA,"seasonal affective disorder","US-MI","web"
"19","Grand Rapids-Kalamazoo-Battle Creek MI",100,"winter blues","US-MI","web"
"20","Detroit MI",93,"winter blues","US-MI","web"
"21","Toledo OH",NA,"winter blues","US-MI","web"
"22","Lansing MI",NA,"winter blues","US-MI","web"
"23","Flint-Saginaw-Bay City MI",NA,"winter blues","US-MI","web"
"24","Marquette MI",NA,"winter blues","US-MI","web"
"25","South Bend-Elkhart IN",NA,"winter blues","US-MI","web"
"26","Traverse City-Cadillac MI",NA,"winter blues","US-MI","web"
"27","Alpena MI",NA,"winter blues","US-MI","web"
