Week,light_therapy,winter_blues,Seasonale_affective_disorder
1/5/20,54,9,79
1/12/20,57,17,79
1/19/20,48,9,71
1/26/20,45,5,100
2/2/20,75,12,49
2/9/20,54,0,43
2/16/20,66,0,41
2/23/20,59,14,51
3/1/20,39,0,32
3/8/20,39,0,34
3/15/20,27,0,10
3/22/20,25,0,10
3/29/20,20,0,11
4/5/20,50,0,4
4/12/20,28,0,10
4/19/20,74,7,21
4/26/20,55,0,15
5/3/20,28,0,0
5/10/20,34,9,12
5/17/20,20,0,7
5/24/20,19,0,0
5/31/20,25,0,8
6/7/20,21,0,9
6/14/20,19,0,5
6/21/20,25,0,9
6/28/20,43,0,14
7/5/20,31,0,15
7/12/20,24,0,15
7/19/20,28,7,8
7/26/20,27,0,0
8/2/20,18,0,10
8/9/20,31,0,14
8/16/20,33,0,10
8/23/20,30,0,19
8/30/20,33,0,0
9/6/20,40,14,27
9/13/20,18,0,18
9/20/20,26,0,20
9/27/20,33,0,31
10/4/20,47,0,25
10/11/20,41,0,35
10/18/20,55,0,53
10/25/20,42,22,53
11/1/20,30,0,50
11/8/20,46,0,71
11/15/20,47,0,41
11/22/20,39,6,44
11/29/20,49,0,61
